NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BILFINGER BERGER,DE0005909006,681.58,538.39,619.27,772.8,735.75,1362.89,1753.3,2169.01,3323.73,3025.71,1342.63,2901.9,3828.07,4596.24,4793.1,5709.61,2757.25,2029.19,1790.12,1964.21,1668.12,1400.69,1592.7,1562.63,1661.12,1736.01
HEIDELBERG MATERIALS,DE0006047004,2882.62,3111.35,3340.88,2567.67,1529.79,4455.3,6613.3,12285.09,17432.91,19718.63,3461.71,9639.43,13082.06,10056.87,12548.81,15275.03,14911.63,13769.19,18039.46,20303.36,14594.91,12409.16,15837.89,12850.85,13022.65,17074.25
HENKEL PREFERENCE,DE0006048432,4759.53,3255.33,3911.42,3327.96,3524.88,4890.01,5267.76,6589.23,9037.48,8110.68,4252.48,9178.85,10728.27,11416.41,15451.12,19921.61,20969.28,18243.4,22438.01,24539.88,18038.76,16938.28,17659.75,14329.73,12883.46,13417.45
HOCHTIEF,DE0006070006,2313.17,1712.96,1751.17,1091.65,917.82,2173.38,2165.09,3764.52,6374.83,8076.59,1999.25,4932.36,7457.79,5735.79,5489.98,6890.77,5601.84,7279.54,9707.96,10997.65,11105.66,7491.79,6380.03,5054.5,5147.68,8803.96
SALZGITTER,DE0006202005,630.25,577.2,564.81,609.9,463.97,768.76,1370.36,4330.99,8837.75,11609.65,3937.02,5306.54,4963.88,3721.72,2768.54,2478.63,1839.15,1349.45,2234.91,3524.47,1788.43,967.71,1815.66,2550.63,2470.64,1567.76
INFINEON TECHNOLOGIES,DE0006231004,,,21651.13,15311.41,4527.61,10242.05,7937.37,7027.39,11680.6,6107.56,464.59,5935.51,11664.06,11040.44,9007.53,12510.93,13189.66,13812.6,20375.78,31205.73,25651.9,27631.93,57200.72,45343.72,46260.65,47048.77
MERCK KGAA,DE0006599905,1580.9,1171.66,1989.51,1200.25,1146.06,2206.36,3819.41,5151.2,8183.47,8077.2,5011.2,5097.5,5788.88,6924.02,9007.22,11077.93,13336.46,11236.07,14093.13,13221.8,13954.66,16261.38,21162.87,25813.15,25054.03,21892.78
GEA GROUP,DE0006602006,2474.87,2475.48,2585.61,1940.06,1114.13,2910.13,2646.95,3195.13,4837.95,6100.82,2008.47,3446.72,5584.64,6332.02,6681.26,9210.46,9527.36,8461.81,7498.14,9238.52,4333.91,5049.86,6263.69,7987.23,7819.72,6982.82
PUMA,DE0006969603,236.54,259.1,226.8,569.6,1051.63,3129.75,3824.21,5963.74,6383.38,5891.64,2519.37,4252.62,4424.3,5206.03,4534.96,4225.67,2915.8,3238.79,4667.85,6699.31,8214.43,12208.79,16132.61,14047.56,9571.06,6895.36
RHEINMETALL,DE0007030009,464.39,181.48,234.16,317.46,256.41,618.11,1018.98,2723.96,3065.14,2579.64,1152.12,2491.38,3213.63,2452.09,2133.08,2911.08,2005.96,3053.94,3260.75,5903.38,4674.48,4078.75,4405.38,5312.5,11244.92,20055.93
