NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UPONOR DEAD - DELIST.30/04/24,FI0009002158,,29100.0,35000.0,16400.0,16400.0,32100.0,27000.0,14400.0,4800.0,59000.0,59000.0
OUTOKUMPU 'A',FI0009002422,909977.0,1140285.0,1126128.0,908608.0,908608.0,1075057.0,775367.0,730115.0,603554.0,603554.0,457228.0
WARTSILA,FI0009003727,57040.0,57040.0,60317.0,59697.0,56002.0,47347.0,40911.0,34561.0,25350.0,24309.0,21251.0
NOKIAN RENKAAT,FI0009005318,70501.0,70416.0,59292.0,59292.0,30321.0,30321.0,57603.0,34100.0,51930.0,51930.0,30820.0
KONECRANES,FI0009005870,84487.0,16800.0,18300.0,18500.0,18500.0,30318.0,26400.0,25600.0,25600.0,20200.0,20200.0
STORA ENSO R,FI0009005961,1953000.0,1820000.0,1720000.0,1330000.0,1360000.0,1360000.0,1080000.0,340000.0,340000.0,190000.0,50000.0
UPM-KYMMENE,FI0009005987,3220000.0,2700000.0,2900000.0,3100000.0,2900000.0,3000000.0,2615000.0,2650000.0,2450000.0,2410000.0,1731000.0
FORTUM,FI0009007132,147000.0,136000.0,85400.0,95500.0,110600.0,92400.0,134100.0,632000.0,650700.0,38800.0,56600.0
SANOMA,FI0009007694,,45755.0,450.0,8400.0,8400.0,8479.0,5733.0,6564.0,8496.0,6893.0,6893.0
ELISA,FI0009007884,59351.0,56249.0,49141.0,74241.0,71225.0,68957.0,71701.0,59760.0,70918.0,56055.0,63047.0
NESTE,FI0009013296,444500.0,444500.0,418900.0,452921.0,747162.0,599000.0,518000.0,625000.0,519000.0,427000.0,503000.0
KONE B,FI0009013403,45000.0,45000.0,39700.0,36900.0,38200.0,36900.0,39000.0,32700.0,10200.0,37291.0,31535.0
YIT,FI0009800643,24443.0,24443.0,31982.0,23299.0,25287.0,26114.0,37500.0,21042.0,29556.0,29556.0,16410.0
ICADE REIT,FR0000035081,271688.0,271688.0,16965.0,16934.0,16331.0,12598.0,11027.0,10132.0,11319.0,11319.0,6391.0
NEXANS,FR0000044448,228549.0,228549.0,249107.0,234794.0,233904.0,239170.0,214364.0,137589.0,137589.0,136862.0,136862.0
CREDIT AGRICOLE,FR0000045072,19340.0,19340.0,31555.0,36006.0,73978.0,65708.0,72890.0,70052.0,75171.0,25439.0,20683.0
MAUREL ET PROM,FR0000051070,94746.0,94746.0,28074.0,291.0,291.0,389.0,462.0,462.0,282.0,282.0,400.0
ATOS,FR0000051732,39566.0,32410.0,43879.0,100376.0,83577.0,63675.0,81769.0,51017.0,51017.0,70964.0,90440.0
HERMES INTL.,FR0000052292,53186.0,53186.0,43297.0,51986.0,21790.0,23639.0,36555.0,16267.0,16124.0,13300.0,9200.0
