NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
INFINEON TECHNOLOGIES,DE0006231004,,,109.79,60.58,18.63,43.84,26.93,27.41,45.31,24.72,3.01,17.52,35.99,33.18,28.82,34.81,39.29,43.7,66.81,100.04,80.64,89.18,153.55,144.8,148.52,132.26
MERCK KGAA,DE0006599905,133.09,108.55,157.37,117.28,117.67,189.29,283.03,443.36,523.05,547.9,408.06,409.25,426.29,531.17,663.88,818.08,1035.14,883.77,1159.8,1101.75,1179.99,1454.19,1899.62,2463.76,2232.48,1871.64
GEA GROUP,DE0006602006,123.94,135.62,97.81,69.06,47.72,118.5,94.9,112.87,187.05,235.84,103.63,154.07,253.33,286.4,297.69,394.59,420.34,407.33,380.84,435.25,217.17,298.05,376.24,496.21,477.34,445.21
PUMA,DE0006969603,51.7,53.93,41.14,95.89,212.0,621.15,734.0,983.66,1195.33,1089.94,615.43,904.56,1024.98,1076.85,1027.62,963.38,670.73,683.49,1012.64,1363.1,1887.83,2728.66,3608.36,3703.25,2461.48,1575.75
RHEINMETALL,DE0007030009,878.52,400.79,401.1,676.83,552.83,1421.19,2217.5,3070.51,3675.34,2870.5,1598.86,2846.45,3995.16,2848.76,2708.87,3550.69,2546.61,3696.37,3953.95,7696.73,5848.0,6246.52,6399.68,6430.1,15167.16,22950.72
RWE,DE0007037129,2113.97,1417.1,1906.16,1833.49,1227.56,2281.05,3314.05,4535.45,6328.19,7429.49,5097.35,5819.1,5209.67,3350.98,2989.12,3367.52,2426.89,1365.23,1252.64,1849.89,2518.2,3803.54,4802.51,4743.12,4952.24,4161.3
MERCEDES-BENZ GROUP N,DE0007100000,145.19,98.47,75.65,60.08,49.02,81.71,84.52,108.05,124.03,150.82,66.64,94.74,156.4,132.24,138.13,214.44,237.17,179.49,197.08,252.01,171.94,153.47,268.12,314.83,339.77,327.8
SAP,DE0007164600,6275.43,11233.37,7593.9,7326.32,5046.29,9303.39,8731.85,11080.15,10423.81,10745.78,8816.05,10714.09,14072.75,15406.8,19724.17,19209.27,17180.53,19700.41,24231.52,28438.41,28042.16,37314.93,36468.5,36262.46,34528.22,53742.22
SIEMENS,DE0007236101,1230.93,2839.01,2408.54,1556.71,1061.57,2344.51,2270.93,2635.29,3301.94,3831.18,2035.98,2727.22,4266.5,3511.75,3739.98,4915.4,4297.97,3918.04,5422.78,6066.33,4839.41,5628.75,8651.98,8386.58,8415.07,10309.57
CECONOMY,DE0007257503,273.51,146.26,183.91,127.32,77.63,178.37,215.79,212.45,307.42,351.54,165.44,252.62,343.86,196.13,167.46,238.56,184.06,160.9,194.78,266.1,82.95,107.63,128.16,88.47,47.42,46.89
SUEDZUCKER,DE0007297004,982.04,660.32,847.84,1118.66,1430.78,1651.7,1830.23,2386.38,2115.14,2054.82,1911.17,2316.69,2979.3,3361.69,4836.71,3094.42,1819.05,1914.75,3263.58,2472.67,2068.39,2339.4,2030.56,1987.27,2255.66,2113.51
HEIDELB.DRUCKMASCHINEN,DE0007314007,207.76,211.08,246.42,177.4,76.75,165.01,147.37,179.37,194.35,105.64,24.76,32.5,39.26,16.77,17.82,27.19,17.86,16.07,20.79,25.87,14.92,7.75,10.83,23.42,16.12,8.08
THYSSENKRUPP,DE0007500001,1420.64,2125.26,1467.17,1227.0,951.76,1883.04,2114.58,2435.64,5047.83,5388.09,2861.02,3630.68,5065.12,3691.95,2913.53,3258.45,3270.75,1962.89,3185.06,3782.97,2232.55,1560.62,1532.38,1329.38,1012.49,799.88
VOLKSWAGEN PREF.,DE0007664039,271.22,160.38,190.38,189.56,191.41,240.19,264.61,333.98,585.46,1056.33,398.0,694.79,1421.38,1688.45,2186.6,2418.44,2321.42,1128.66,1491.31,2093.76,1660.8,1926.05,2146.63,2260.94,1870.74,1856.93
DEUTSCHE LUFTHANSA,DE0008232125,1234.28,1137.42,1470.23,920.2,565.78,1214.59,980.11,1124.25,2094.25,1690.83,1135.76,1326.29,1879.69,1355.56,1838.8,2258.08,1519.17,1392.39,1311.75,3541.49,2676.57,1779.77,1478.38,1234.4,1583.66,1274.95
HANNOVER RUECK,DE0008402215,305.53,209.87,279.0,190.98,237.19,364.78,384.98,381.1,456.7,465.43,401.01,495.78,718.37,715.55,1026.66,1172.12,1386.6,1558.27,1832.95,2306.39,2595.92,3815.1,3232.92,3836.21,4008.56,5372.15
ALLIANZ,DE0008404005,6227.76,6059.39,6270.87,3966.3,1348.19,2766.22,2592.37,3400.8,4532.13,3840.65,2094.62,2634.66,3762.14,3223.02,3976.3,5177.78,5297.9,5055.17,5777.35,8665.27,7902.47,9771.94,9816.59,11300.46,10787.57,12788.95
MUENCHENER RUCK.,DE0008430026,10607.8,11766.03,14376.4,10216.85,3725.77,5449.75,5481.92,6389.26,7958.3,8672.26,7630.77,8271.9,9955.06,9034.58,12122.05,14680.14,14975.56,14615.39,14999.1,18770.05,19835.37,27955.02,26993.04,31033.44,36773.5,46846.79
NORDEX,DE000A0D6554,,,,67.24,24.29,14.55,7.98,10.84,28.06,42.54,13.5,13.88,9.63,7.81,5.9,15.31,22.07,31.07,23.02,13.93,11.95,14.63,33.08,17.64,18.31,13.12
MTU AERO ENGINES HLDG.,DE000A0D9PT0,,,,,,,,157.65,267.33,242.87,146.39,259.24,380.05,400.34,545.68,498.99,547.78,534.87,736.94,1078.6,1347.49,1924.08,1557.44,1349.66,1561.38,1544.05
HAMB.HAFEN UD.LOGISTIK,DE000A0S8488,,,,,,,,,,129.99,55.68,71.43,92.76,69.73,54.25,55.38,48.95,33.12,46.47,64.56,54.35,62.79,58.26,58.76,38.66,54.38
AIXTRON,DE000A0WMPJ6,1007.33,2300.86,2238.89,902.42,188.56,395.65,239.85,161.42,264.98,596.87,268.08,1354.97,2144.27,752.15,683.42,798.5,425.71,191.58,193.87,801.89,564.64,607.55,1043.77,1026.77,1505.78,1954.02
ADIDAS,DE000A1EWWW0,234.09,160.14,177.64,183.48,210.17,327.55,418.16,572.89,565.98,698.63,435.84,570.49,773.14,928.29,1114.75,1460.38,912.7,1309.83,2038.1,3020.53,3078.16,4361.48,4602.46,3867.72,2335.68,2686.47
